id,name,text,trans,__parsed_extra
0000000000000,白紙の文書,光,光,
0000000000000,宣伝担当者,────扱っている題材からもわかる通り\nコンセプトが光ということになってまして……,────顾名思义\n我们将围绕“光”这一个主题……,
0000000000000,白紙の文書,光について,关于光,
0000000000000,宣伝担当者,今回、多角的なアプローチで\nさまざまな客層にリーチできないかと思ってるんです,这次，我们想尝试从多角度切入\n希望能接触到各种各样的顾客群体,
0000000000000,宣伝担当者,作品のテーマとしてもしっくり来ますし\n宣伝イメージにもピッタリだと思いまして……,我认为她们非常适合担任我们的宣传形象大使……\n并且也十分契合我们作品的主题,
0000000000000,プロデューサー,ええ、ええ,嗯，对,
0000000000000,宣伝担当者,宣伝部としては\nぜひ２８３さんの力をお借りできないかなと────,宣传部这边\n非常希望能借助283制作人的支持────,
0000000000000,白紙の文書,私たちは、語らなければならない,我们必须讲述,
4001073010010,めぐる,…………,…………,
4001073010020,真乃,……めぐるちゃん、うれしそう……,……巡，你看起来好像很高兴……,
4001073010030,めぐる,うんっ\n嬉しいこと書いてあった,嗯！\n上面写的都是让人高兴的事,
4001073010040,真乃,ほわ……,呼哇……,
4001073010050,灯織,もう……\n終わらないよ,真是的……\n会填不完的,
4001073010060,めぐる,んー……,嗯～……,
4001073010070,めぐる,ん……！\n充電完了っ,嗯……！\n电充完了～,
4001073010080,灯織,ほら、アンケート\n先にやっちゃおう,好啦，先把问卷填完吧,
4001073010090,めぐる,はーい,好～,
4001073010100,めぐる,また会おう……ファンのみんな,粉丝们……下次再见喽,
0000000000000,宣伝担当者,いやぁ……\nお時間いただいちゃって,哎呀……\n耽误您时间了,
0000000000000,プロデューサー,いえいえ、そんな……！\nこちらこそ、貴重な機会をいただきまして……,不不，没有的事……！\n承蒙您提供宝贵的机会……,
0000000000000,プロデューサー,メンバーにも、さっそく共有させていただきます,我会立刻去转告组合成员们的,
0000000000000,宣伝担当者,ああ、助かります\n大事ですよね、そういうコンセンサスって,啊，多谢您了\n还好达成了共识,
0000000000000,プロデューサー,はは、そうですね……,哈哈，是啊……,
0000000000000,宣伝担当者,うちの宣伝部も一枚岩じゃなくて……\nあるんですよぉ、そういう言ったとか言わないとか────,我们宣传部其实人心也没那么齐……\n总会有这样那样的摩擦────,
4001073010110,めぐる,はぁー……！,哈啊～……！,
4001073010120,真乃,……お疲れさま、めぐるちゃん,……辛苦了，巡,
4001073010130,灯織,思ったより遅くなっちゃったね……,比预想的要晚了呢……,
4001073010140,灯織,今日はもう帰ろうか,今天就先回去吧，,
4001073010150,めぐる,ええー！\nお手紙……,诶～！\n信还没看完呢……,
4001073010160,灯織,でも、けっこう暗いよ\nまた今度でも読めるし……,但是，天色已经很暗了\n下次再看也行吧……,
4001073010170,真乃,……少しだけ、読んでいくのはどうかな……,……那就，再稍微看一会怎么样……,
4001073010180,めぐる,うんうん……！,嗯嗯……！,
4001073010190,真乃,それならどうかな……\n灯織ちゃん……,这样可以吗……\n灯织……,
4001073010200,めぐる,灯織ー,灯织～,
4001073010210,灯織,ふふ……\nわかった,呼呼……\n我知道了,
4001073010220,めぐる,じゃあ、わたし真ん中行くね……！,那，我要坐中间……！,
4001073010230,めぐる,見て見て……！\n小さな子たちの写真も入ってる！,快看……！\n还有小朋友的照片！,
4001073010240,真乃,ふふっ……可愛い……,呼呼……好可爱……,
4001073010250,灯織,可愛い……,真可爱……,
4001073010260,めぐる,『娘がイルミネのファンだったのですが\n今ではすっかり家族でファンになりました』,『我女儿是illumination STARS的粉丝\n现在全家都成粉丝了』,
4001073010270,めぐる,『３人の頑張る姿や言葉にいつもパワーをもらってます\n心の支えとして、いつも照らしてくれます』……！,『我们总是能从三位的努力身影和言语中获得力量\n作为我们的心灵支柱，总是照亮着我们』……！,
4001073010280,真乃,……っ,……,
4001073010290,めぐる,えへへっ！\nありがたいねー,嘿嘿！\n太感谢了～,
4001073010300,めぐる,やっててよかったーってなる……！,感觉能当上偶像真是太好了……！,
4001073010310,真乃,うん……っ,嗯……,
4001073010320,灯織,そうだね……,是啊……,
4001073010330,めぐる,嬉しいなぁ……\nこうやって、言葉で伝えてくれると──────,好开心啊……\n有人能像这样用文字传达给我们──────,
4001073010331,一同,──────！,──────！,
4001073010340,めぐる,なになに！？,什么什么！？,
4001073010341,真乃＆灯織,停電……！,停电……！,
4001073010350,めぐる,暗いー,好黑～,
4001073010360,灯織,落ち着いて……！,冷静……！,
4001073010370,灯織,……目が慣れるのを待とう,……让眼睛适应一下,
4001073010380,めぐる,あっ……,啊……,
4001073010390,灯織,めぐる……？,巡……？,
4001073010400,めぐる,じゃん……！,锵……！,
4001073010410,真乃,ほわ……,哇……,
4001073010420,灯織,そっか、スマホ……,原来如此，手机……,
4001073010430,めぐる,これで大丈夫っ,这样就没事了～,
4001073010440,灯織,……どうしよう\nこのまま待ってても仕方ないし,……现在怎么办\n就这么等着也不是办法,
4001073010450,灯織,復旧するとしたら、玄関のほうかな,如果要恢复照明的话，得去玄关那边吧,
4001073010460,真乃,うん、たぶん……,嗯，大概吧……,
4001073010470,めぐる,……っ\nね、探検みたいじゃない？,……\n感觉，就像在探险一样呢,
4001073010480,めぐる,……アー、アー\nこちら八宮隊員……どうぞ,……喂～喂～\n这里是队员八宫……请讲,
4001073010490,めぐる,目標は────２８３プロダクション玄関\nイルミネ探検隊、出動します……！,目标是────283Production玄关\nillumination STARS探险队，出发……！,
4001073010500,灯織,もう……,真是的……,
4001073010510,真乃,ふふっ,呼呼,
4001073010520,めぐる,真っ暗…………,黑咕隆咚…………,
4001073010530,めぐる,…………っ,…………,
4001073010540,灯織,めぐる……眩しい,巡……好晃眼,
4001073010550,めぐる,ごめーん,抱歉～,
4001073010560,灯織,遊んでると、電池なくなるよ,再玩下去，电池会耗光的,
4001073010570,めぐる,えへへっ\nなんだか事務所じゃないみたいだなって,诶嘿嘿\n感觉都不像是在事务所一样,
4001073010580,めぐる,いつもと違う顔,气氛和平时不太一样,
4001073010590,真乃,うん……,嗯……,
4001073010600,真乃,でも……あんまり怖くないかも……,但是……也不会觉得有多害怕……,
4001073010610,灯織,え？,诶？,
4001073010620,真乃,灯織ちゃんも、めぐるちゃんも\n近くにいるから……,因为灯织和巡\n都在我身边……,
4001073010630,灯織,…………,…………,
4001073010640,めぐる,わたしも……！\nふたりの声が聞こえるから、そんなに怖くないよ,我也是……！\n因为能听到你们两人的声音，所以没那么害怕,
4001073010650,灯織,……\nそうだね,……\n是啊,
4001073010660,灯織,そこにいるってわかると────,知道你们在身边就────,
4001073010670,めぐる,あっ！,啊！,
4001073010680,灯織,めぐる……！？,巡……！？,
4001073010690,めぐる,ごめん……\nスマホ落としちゃった,对不起……\n手机掉地上啦,
4001073010700,灯織,ほら、気をつけないと────,说了吧，得小心一些────,
4001073010710,めぐる,どこかなぁ……,总闸在哪里呢……,
4001073010711,一同,──────,──────,
0000000000000,プロデューサー,うわっ！？,哇！？,
4001073010712,一同,プロデューサー……！,制作人……！,
0000000000000,プロデューサー,ど、どうした……？,怎、怎么了……？,
4001073010713,一同,よかったぁ……,太好了……,
0000000000000,プロデューサー,みんな、まだ残ってたのか\nなんでこんな暗いところで……？,大家都还在啊\n为什么待在这么黑的地方……？,
4001073010720,めぐる,うん、ファンレター読んでたら\nいきなり停電しちゃって……,嗯，我们在读粉丝来信的时候\n突然就停电了……,
0000000000000,プロデューサー,そ、そうか……,是、是这样啊……,
0000000000000,プロデューサー,すまん、驚かせちゃったな,抱歉，吓到你们了,
4001073010730,灯織,いえ……\n驚きはしましたけど……,没有……\n虽然是吓了一跳……,
4001073010740,めぐる,プロデューサーの声、聞いたらホッとした！,听到制作人的声音，安心多了！,
4001073010750,真乃,うん……,嗯……,
0000000000000,プロデューサー,ははっ\nそっか……,哈哈\n这样啊……,
4001073010760,めぐる,……あっ,……啊，,
4001073010770,真乃,めぐるちゃん？,巡？,
4001073010780,めぐる,切れちゃった……\nスマホ,手机，没电了……,
4001073010790,灯織,遊ぶから,都是你玩太多啦,
4001073010800,真乃,ふふっ……,呼呼……,
0000000000000,白紙の文書,私たちは、光について語らなければならない,我们必须讲述，关于光的故事,
0000000000000,白紙の文書,役立たずの光について,关于无用的光,
info,game_event_communications/400107301.json,,,
译者,,,,